skill_name,user_id,count,percent
Horoscope,108,6,0.0011451845942133823
Horoscope,253,10,0.001908640990355637
Horoscope,385,4,0.0007634563961422548
Horoscope,6351,14,0.002672097386497892
Horoscope,7141,31,0.005916787070102475
Horoscope,7864,7,0.001336048693248946
Horoscope,8815,58,0.011070117744062696
Horoscope,13726,34,0.006489379367209166
Horoscope,14547,2,0.0003817281980711274
Horoscope,15096,37,0.007061971664315858
Horoscope,15146,10,0.001908640990355637
Horoscope,15797,8,0.0015269127922845095
Horoscope,18198,1,0.0001908640990355637
Horoscope,18234,11,0.002099505089391201
Horoscope,20555,14,0.002672097386497892
Horoscope,20906,10,0.001908640990355637
Horoscope,21596,1,0.0001908640990355637
Horoscope,22745,11,0.002099505089391201
Horoscope,22759,2,0.0003817281980711274
Riddles,31,6,0.0011451845942133823
Riddles,108,9,0.0017177768913200734
Riddles,147,8,0.0015269127922845095
Riddles,177,10,0.001908640990355637
Riddles,263,8,0.0015269127922845095
Riddles,385,82,0.015650856120916223
Riddles,497,8,0.0015269127922845095
Riddles,857,36,0.0068711075652802935
Riddles,866,1,0.0001908640990355637
Riddles,1475,46,0.00877974855563593
Riddles,2122,27,0.00515333067396022
Riddles,7170,11,0.002099505089391201
Riddles,7347,12,0.0022903691884267646
Riddles,7879,11,0.002099505089391201
Riddles,8079,51,0.009734069050813749
Riddles,11092,2,0.0003817281980711274
Riddles,11246,46,0.00877974855563593
Riddles,11870,8,0.0015269127922845095
Riddles,13924,79,0.015078263823809532
Riddles,14165,7,0.001336048693248946
Riddles,14681,17,0.003244689683604583
Riddles,15106,49,0.009352340852742622
Riddles,15916,2,0.0003817281980711274
Riddles,16586,22,0.004199010178782402
Riddles,17310,9,0.0017177768913200734
Riddles,17835,113,0.0215676431910187
Riddles,17995,40,0.007634563961422548
Riddles,20906,7,0.001336048693248946
Riddles,20949,3,0.0005725922971066912
Riddles,21061,8,0.0015269127922845095
Riddles,21625,7,0.001336048693248946
Riddles,22078,91,0.017368633012236297
Riddles,22672,13,0.002481233287462328
Riddles,22767,3,0.0005725922971066912
Translator,1,4,0.0007634563961422548
Translator,31,50,0.009543204951778185
Translator,108,8,0.0015269127922845095
Translator,116,1,0.0001908640990355637
Translator,147,6,0.0011451845942133823
Translator,253,9,0.0017177768913200734
Translator,497,95,0.018132089408378554
Translator,1873,17,0.003244689683604583
Translator,4255,49,0.009352340852742622
Translator,4597,61,0.011642710041169386
Translator,7170,22,0.004199010178782402
Translator,9643,10,0.001908640990355637
Translator,10045,347,0.0662298423653406
Translator,13867,33,0.0062985152681736024
Translator,16610,19,0.0036264178816757106
Translator,17758,113,0.0215676431910187
Translator,18234,4,0.0007634563961422548
Translator,19220,9,0.0017177768913200734
Translator,19815,28,0.005344194772995784
Translator,19889,8,0.0015269127922845095
Translator,20294,3,0.0005725922971066912
Translator,20357,6,0.0011451845942133823
Translator,20684,1,0.0001908640990355637
Translator,20906,14,0.002672097386497892
Translator,21326,5,0.0009543204951778185
Translator,21397,23,0.004389874277817965
Translator,21550,7,0.001336048693248946
Translator,21584,2,0.0003817281980711274
Translator,21588,54,0.01030666134792044
Translator,22068,2,0.0003817281980711274
Translator,22148,33,0.0062985152681736024
Translator,22182,1,0.0001908640990355637
Translator,22299,12,0.0022903691884267646
Translator,22596,1,0.0001908640990355637
Translator,22631,15,0.0028629614855334557
Translator,22660,7,0.001336048693248946
Translator,22674,16,0.003053825584569019
Translator,22692,11,0.002099505089391201
Translator,22700,12,0.0022903691884267646
Translator,22758,10,0.001908640990355637
Translator,22764,5,0.0009543204951778185
Translator,22767,12,0.0022903691884267646
Translator,22799,19,0.0036264178816757106
Translator,22858,2,0.0003817281980711274
iot,161,1,0.0001908640990355637
iot,178,20,0.003817281980711274
iot,309,20,0.003817281980711274
iot,342,11,0.002099505089391201
iot,386,13,0.002481233287462328
iot,422,4,0.0007634563961422548
iot,497,3,0.0005725922971066912
iot,693,3,0.0005725922971066912
iot,750,7,0.001336048693248946
iot,772,19,0.0036264178816757106
iot,784,10,0.001908640990355637
iot,791,18,0.0034355537826401467
iot,803,1,0.0001908640990355637
iot,836,33,0.0062985152681736024
iot,843,48,0.009161476753707059
iot,857,18,0.0034355537826401467
iot,971,64,0.012215302338276076
iot,1031,76,0.014505671526702842
iot,1035,42,0.008016292159493675
iot,1061,7,0.001336048693248946
iot,1065,4,0.0007634563961422548
iot,1093,10,0.001908640990355637
iot,1096,9,0.0017177768913200734
iot,1097,6,0.0011451845942133823
iot,1271,9,0.0017177768913200734
iot,1273,36,0.0068711075652802935
iot,1274,46,0.00877974855563593
iot,1280,48,0.009161476753707059
iot,1282,14,0.002672097386497892
iot,1310,8,0.0015269127922845095
iot,1311,18,0.0034355537826401467
